laboratorio_id,piso_id,codigo,nombre,capacidad,descripcion,estado,activo,creado_en,actualizado_en
10225e74-7c22-5384-8cdc-396a168ec651,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-011,Laboratorio Informático 11,36,Programación y desarrollo de software,DISPONIBLE,true,2021-02-03T08:00:00+00:00,2022-12-21T08:00:00+00:00
e2a92e74-055e-59c5-8f36-7e5665936ccb,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-012,Laboratorio Informático 12,24,Redes y telecomunicaciones,DISPONIBLE,true,2021-02-06T08:00:00+00:00,2021-12-20T08:00:00+00:00
aca81255-5756-5c47-8160-68e73d60335a,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-013,Laboratorio Informático 13,20,Bases de datos y analítica,DISPONIBLE,true,2021-02-09T08:00:00+00:00,2021-09-13T08:00:00+00:00
1a0b71d7-4721-5998-bd82-de26b25b5771,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-014,Laboratorio Informático 14,45,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-02-12T08:00:00+00:00,2021-05-15T08:00:00+00:00
6903b35b-c2a6-5770-98e5-743c2bc06b45,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-015,Laboratorio Informático 15,36,Docencia informática de propósito general,DISPONIBLE,true,2021-02-15T08:00:00+00:00,2021-03-29T08:00:00+00:00
23c254ed-4635-5cec-baa9-656efa7fd130,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-016,Laboratorio Informático 16,32,Programación y desarrollo de software,DISPONIBLE,true,2021-02-18T08:00:00+00:00,2022-01-11T08:00:00+00:00
45b00d8f-2f79-52ba-8b17-e7d6ee0b476f,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-017,Laboratorio Informático 17,36,Redes y telecomunicaciones,DISPONIBLE,true,2021-02-21T08:00:00+00:00,2022-11-17T08:00:00+00:00
e5da4cff-29aa-5f05-8532-70f093603e74,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-018,Laboratorio Informático 18,40,Bases de datos y analítica,DISPONIBLE,true,2021-02-24T08:00:00+00:00,2022-01-08T08:00:00+00:00
6c814918-8ba0-52cc-9377-6d60b7946f8b,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-019,Laboratorio Informático 19,40,Sistemas operativos y arquitectura,MANTENIMIENTO,true,2021-02-27T08:00:00+00:00,2022-04-08T08:00:00+00:00
6c33ac3c-f870-5229-a33d-c01dc6c72c8d,715e57ae-71f3-55c4-9f9b-f9ba3290652c,LAB-020,Laboratorio Informático 20,24,Docencia informática de propósito general,DISPONIBLE,true,2021-03-02T08:00:00+00:00,2023-02-13T08:00:00+00:00
706ea773-fd09-5587-a465-302616f9d571,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-021,Laboratorio Informático 21,40,Programación y desarrollo de software,DISPONIBLE,true,2021-03-05T08:00:00+00:00,2021-12-14T08:00:00+00:00
da1fe6a7-058c-5ad3-a10e-f529804a44b5,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-022,Laboratorio Informático 22,36,Redes y telecomunicaciones,DISPONIBLE,true,2021-03-08T08:00:00+00:00,2022-11-08T08:00:00+00:00
edd16813-3734-5d64-94e4-96368eeaa7e8,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-023,Laboratorio Informático 23,24,Bases de datos y analítica,DISPONIBLE,true,2021-03-11T08:00:00+00:00,2021-05-26T08:00:00+00:00
d76d770e-14c2-5fea-bf8b-28f95250e124,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-024,Laboratorio Informático 24,40,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-03-14T08:00:00+00:00,2022-03-03T08:00:00+00:00
7bcb3d0c-2500-5f01-abe8-d24e962af50e,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-025,Laboratorio Informático 25,32,Docencia informática de propósito general,OCUPADO,true,2021-03-17T08:00:00+00:00,2022-01-22T08:00:00+00:00
aad269e7-97f7-5e2d-9c43-cf84b49bd847,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-026,Laboratorio Informático 26,30,Programación y desarrollo de software,OCUPADO,true,2021-03-20T08:00:00+00:00,2022-03-05T08:00:00+00:00
f859156e-dfad-5881-91ea-185f82325790,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-027,Laboratorio Informático 27,20,Redes y telecomunicaciones,DISPONIBLE,true,2021-03-23T08:00:00+00:00,2023-01-07T08:00:00+00:00
dd609563-702d-543d-a49a-0ce27a83f234,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-028,Laboratorio Informático 28,40,Bases de datos y analítica,DISPONIBLE,true,2021-03-26T08:00:00+00:00,2021-09-13T08:00:00+00:00
c1489a8f-1dff-511e-b025-5a10261901d7,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-029,Laboratorio Informático 29,32,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-03-29T08:00:00+00:00,2021-09-08T08:00:00+00:00
a22ee2bf-332c-5ac1-ae12-28ce7b0033a1,3bc20ef6-a981-5eb7-9e90-b05ce5cdd888,LAB-030,Laboratorio Informático 30,36,Docencia informática de propósito general,DISPONIBLE,true,2021-04-01T08:00:00+00:00,2023-09-08T08:00:00+00:00
4b4a10f4-36fa-5109-bc5d-14e24370c164,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-031,Laboratorio Informático 31,32,Programación y desarrollo de software,DISPONIBLE,true,2021-04-04T08:00:00+00:00,2022-12-27T08:00:00+00:00
8fd4b53b-1d49-5307-8a1a-e184999a4434,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-032,Laboratorio Informático 32,40,Redes y telecomunicaciones,DISPONIBLE,true,2021-04-07T08:00:00+00:00,2023-01-23T08:00:00+00:00
b8969593-19a7-5a43-84c0-d52e63ac0cb4,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-033,Laboratorio Informático 33,30,Bases de datos y analítica,DISPONIBLE,true,2021-04-10T08:00:00+00:00,2022-08-21T08:00:00+00:00
d056b3a8-8204-507a-b6c1-1f1203a87651,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-034,Laboratorio Informático 34,32,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-04-13T08:00:00+00:00,2022-06-01T08:00:00+00:00
1dee66e3-0076-5033-8ba0-70dd67e8aea0,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-035,Laboratorio Informático 35,45,Docencia informática de propósito general,DISPONIBLE,true,2021-04-16T08:00:00+00:00,2021-11-10T08:00:00+00:00
0880d439-8834-59c1-bfce-e7f3da722b3f,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-036,Laboratorio Informático 36,45,Programación y desarrollo de software,DISPONIBLE,true,2021-04-19T08:00:00+00:00,2023-10-01T08:00:00+00:00
f5e43a2a-032c-562e-837a-ff3c72abffb4,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-037,Laboratorio Informático 37,30,Redes y telecomunicaciones,DISPONIBLE,true,2021-04-22T08:00:00+00:00,2022-12-17T08:00:00+00:00
b46607fb-d28f-5c06-a3a8-091cb9d995ec,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-038,Laboratorio Informático 38,40,Bases de datos y analítica,DISPONIBLE,true,2021-04-25T08:00:00+00:00,2023-04-05T08:00:00+00:00
ef815f08-b586-5f03-964a-a08004eaebf3,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-039,Laboratorio Informático 39,36,Sistemas operativos y arquitectura,OCUPADO,true,2021-04-28T08:00:00+00:00,2023-09-09T08:00:00+00:00
8a849cc5-eff1-56c6-b99f-f86d02b12517,23aa46ad-ea5a-526f-b2b7-f4b99be7e469,LAB-040,Laboratorio Informático 40,20,Docencia informática de propósito general,DISPONIBLE,true,2021-05-01T08:00:00+00:00,2022-05-27T08:00:00+00:00
